,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
1209,Hamlyn Views School,3215,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,2.27
1030,Hampden Specialist School,3266,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,31.96
1030,Hampden Specialist School,3266,South West Healthcare (Camperdown),Public,9 Robinson Street Camperdown VIC 3260,7.17
629,Hampton Park Primary School,3976,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,0.85
629,Hampton Park Primary School,3976,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,4.13
1418,Hampton Park Secondary College,3976,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,0.52
1418,Hampton Park Secondary College,3976,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,4.59
581,Hampton Primary School,3188,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,2.07
581,Hampton Primary School,3188,Linacre Private Hospital,Private,12-16 Linacre Road Bayside VIC 3188,0.62
1101,Harcourt Valley Primary School,3453,Castlemaine Health,Public,142 Cornish Street Castlemaine VIC 3450,4.24
1101,Harcourt Valley Primary School,3453,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,16.62
2238,Harkaway Hills College,3804,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,3.26
2238,Harkaway Hills College,3804,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,4.96
296,Harkaway Primary School,3806,The Victorian Cosmetic Institute,Private,1/18-24A Clyde Road Casey VIC 3806,2.19
296,Harkaway Primary School,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,3.03
107,Harrietville Primary School,3741,Alpine Health (Mount Beauty),Public,2-8 Hollonds Street Hollonds VIC 3699,11.52
107,Harrietville Primary School,3741,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,52.71
733,Harrisfield Primary School,3174,Noble Park Endoscopy Centre,Private,1304 Heatherton Road Heatherton VIC 3174,1.02
733,Harrisfield Primary School,3174,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,1.23
241,Harston Primary School,3616,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,16.82
241,Harston Primary School,3616,Tatura Public Hospital,Public,64-68 Park Street Tatura VIC 3616,5.11
626,Hartwell Primary School,3124,Delmont Private Hospital,Private,298-308 Warrigal Road Boroondara VIC 3146,0.83
626,Hartwell Primary School,3124,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,2.52
1153,Harvest Home Primary School,3076,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,2.22
1153,Harvest Home Primary School,3076,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,1.97
159,Hastings Primary School,3915,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,9.17
159,Hastings Primary School,3915,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,9.02
1122,Hawkesdale P12 College,3287,Penshurst & District Memorial Hospital,Public,146 Cobb Street Penshurst VIC 3289,15.97
1122,Hawkesdale P12 College,3287,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,20.2
35,Hawthorn West Primary School,3122,Epworth Hawthorn,Private,46-52 Burwood Road Boroondara VIC 3122,0.26
35,Hawthorn West Primary School,3122,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,1.05
1196,Hazel Glen College,3754,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,7.04
1196,Hazel Glen College,3754,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,6.86
407,Hazelwood North Primary School,3840,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,3.64
407,Hazelwood North Primary School,3840,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,3.99
1321,Healesville High School,3777,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,17.49
1321,Healesville High School,3777,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,0.25
109,Healesville Primary School,3777,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,16.27
109,Healesville Primary School,3777,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,0.99
1065,Heany Park Primary School,3178,The Valley Private Hospital,Private,535-559 Police Road Monash VIC 3170,1.66
1065,Heany Park Primary School,3178,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,3.26
38,Heathcote Primary School,3523,Heathcote Health,Public,39-55 Hospital Street Heathcote VIC 3523,0.21
38,Heathcote Primary School,3523,Nagambie HealthCare,Private,22 Church Street Strathbogie VIC 3608,26.47
2058,Heathdale Christian College,3030,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,0.28
2058,Heathdale Christian College,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,1.02
762,Heatherhill Primary School,3171,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,1.28
762,Heatherhill Primary School,3171,Windsor Avenue Day Surgery,Private,17 Windsor Avenue Windsor VIC 3171,0.91
2231,Heatherton Christian College,3169,Windsor Avenue Day Surgery,Private,17 Windsor Avenue Windsor VIC 3171,2.12
2231,Heatherton Christian College,3169,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,1.73
795,Heatherwood School,3111,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.4
795,Heatherwood School,3111,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,0.8
1467,Heathmont College,3135,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,0.75
1467,Heathmont College,3135,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,0.76
775,Heathmont East Primary School,3135,Bayswater Day Procedure and Specialist Centre,Private,664 Mountain Highway Knox VIC 3153,0.85
775,Heathmont East Primary School,3135,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.62
36,Heidelberg Primary School,3084,Warringal Private Hospital,Private,216 Burgundy Street Banyule VIC 3084,0.41
36,Heidelberg Primary School,3084,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,0.39
1819,Henderson College,3498,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,2.72
1819,Henderson College,3498,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,2.72
98,Hepburn Primary School,3461,Daylesford District Hospital,Public,15 Hospital Street Daylesford VIC 3460,2.05
98,Hepburn Primary School,3461,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,20.57
1828,Heritage College,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,1.7
1828,Heritage College,3805,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,1.61
706,Herne Hill Primary School,3218,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,2.05
706,Herne Hill Primary School,3218,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,0.72
138,Hesket Primary School,3442,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,17.52
138,Hesket Primary School,3442,Kyneton District Health Service,Public,7-25 Fenaughty Drive Kyneton VIC 3444,10.46
2245,Hester Hornbrook Academy,3000,Peter MacCallum Cancer Centre,Public,305 Grattan Street Melbourne VIC 3000,1.14
2245,Hester Hornbrook Academy,3000,Specialist Surgicentre Docklands,Private,22 Rakaia Way Melbourne VIC 3008,0.84
162,Heyfield Primary School,3858,Central Gippsland Health Service (Maffra),Public,42-48 Kent Street Maffra VIC 3860,10.93
162,Heyfield Primary School,3858,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,0.37
1227,Heywood Consolidated School,3304,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,49.98
1227,Heywood Consolidated School,3304,Heywood Rural Health,Public,21 Barclay Street Heywood VIC 3304,0.96
1322,Heywood District Secondary College,3304,Heywood Rural Health,Public,21 Barclay Street Heywood VIC 3304,0.64
1322,Heywood District Secondary College,3304,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,49.55
39,Highton Primary School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,1.66
39,Highton Primary School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.0
856,Highvale Primary School,3150,The Glen Endoscopy Centre,Private,302 Springvale Road Monash VIC 3150,1.31
856,Highvale Primary School,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.15
1323,Highvale Secondary College,3150,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.33
1323,Highvale Secondary College,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.14
1565,Highview College,3465,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,34.0
1565,Highview College,3465,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,0.59
2059,Hillcrest Christian College,3978,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,2.9
2059,Hillcrest Christian College,3978,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,2.89
1141,Hillsmeade Primary School,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,2.55
1141,Hillsmeade Primary School,3805,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,2.46
2234,Hoa Nghiem Primary School,3172,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,1.65
2234,Hoa Nghiem Primary School,3172,Windsor Avenue Day Surgery,Private,17 Windsor Avenue Windsor VIC 3171,1.07
421,Hoddles Creek Primary School,3139,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,16.98
421,Hoddles Creek Primary School,3139,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,13.3
2173,Holmes Secondary College,3000,Royal Victorian Eye and Ear Hospital,Public,32 Gisborne Street Gisborne VIC 3002,0.23
2173,Holmes Secondary College,3000,Victoria Parade Surgery Centre,Private,100 Victoria Parade Melbourne VIC 3002,0.19
1934,Holy Child School,3047,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.63
1934,Holy Child School,3047,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,4.05
2134,Holy Cross Primary School,3438,Sunbury Day Hospital,Public,7 Macedon Street Sunbury VIC 3429,11.18
2134,Holy Cross Primary School,3438,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,11.94
1973,Holy Eucharist School,3021,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,0.35
1973,Holy Eucharist School,3021,Fresenius Medical Care Sunshine Dialysis Clinic,Private,147-149 Furlong Road Brimbank VIC 3021,0.4
1897,Holy Family School,3177,Dandenong Eye Clinic & Day Surgery Centre,Private,1-3 Falkiner Crescent Falkiner VIC 3175,1.4
1847,Holy Family School,3215,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,2.97
1867,Holy Family School,3149,Waverley Endoscopy,Private,301 Blackburn Road Monash VIC 3149,1.02
1847,Holy Family School,3215,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,0.58
1897,Holy Family School,3177,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,1.44
1867,Holy Family School,3149,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,2.41
1799,Holy Name School,3073,Panch Day Surgery Centre,Private,84-90 Hotham Street Darebin VIC 3072,1.28
1799,Holy Name School,3073,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,2.38
1753,Holy Rosary School,3523,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,26.5
1706,Holy Rosary School,3031,"Royal Children's Hospital, The",Public,50 Flemington Road Parkville VIC 3052,1.11
1711,Holy Rosary School,3550,"Bendigo Hospital, The",Public,62 Lucan Street Bendigo VIC 3550,2.25
1753,Holy Rosary School,3523,Heathcote Health,Public,39-55 Hospital Street Heathcote VIC 3523,0.75
1706,Holy Rosary School,3031,Diaverum North Melbourne Dialysis Clinic,Private,185 Boundary Road Melbourne VIC 3051,0.77
1711,Holy Rosary School,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,3.64
1992,Holy Saviour Parish School,3133,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,0.91
1992,Holy Saviour Parish School,3133,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.37
1848,Holy Spirit Parish School,3218,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,1.19
1848,Holy Spirit Parish School,3218,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,1.86
1990,Holy Spirit School,3134,Ringwood Radiation Oncology Centre,Private,36 Frankston-flinders Road Maroondah VIC 3135,1.29
1832,Holy Spirit School,3071,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,1.74
1832,Holy Spirit School,3071,North Eastern Rehabilitation Centre,Private,134-146 Ford Street Banyule VIC 3079,0.84
1990,Holy Spirit School,3134,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.39
2256,Holy Trinity Catholic Primary School,3429,Sunbury Day Hospital,Public,7 Macedon Street Sunbury VIC 3429,1.59
2256,Holy Trinity Catholic Primary School,3429,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,2.45
2004,Holy Trinity Lutheran College,3400,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,106.03
2004,Holy Trinity Lutheran College,3400,Wimmera Base Hospital (Horsham),Public,83 Baillie Street Horsham VIC 3400,0.54
2100,Holy Trinity Primary School,3095,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,1.6
2100,Holy Trinity Primary School,3095,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,4.42
2086,Holy Trinity School,3152,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,2.06
2086,Holy Trinity School,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,2.22
1371,Homestead Senior Secondary College,3030,Wyndham Clinic,Private,242A Hoppers Lane Wyndham VIC 3030,4.13
1371,Homestead Senior Secondary College,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,4.25
1531,Hopetoun P-12 College,3396,Rural Northwest Health (Hopetoun),Public,12 Mitchell Place Hopetoun VIC 3396,0.16
1531,Hopetoun P-12 College,3396,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,107.55
1419,Hoppers Crossing Secondary College,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,0.96
1419,Hoppers Crossing Secondary College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,1.03
1468,Horsham College,3402,Wimmera Base Hospital (Horsham),Public,83 Baillie Street Horsham VIC 3400,1.39
1468,Horsham College,3402,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,107.47
1192,Horsham Primary School,3400,Wimmera Base Hospital (Horsham),Public,83 Baillie Street Horsham VIC 3400,0.33
1192,Horsham Primary School,3400,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,106.03
1029,Horsham Special School,3400,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,107.49
1029,Horsham Special School,3400,Wimmera Base Hospital (Horsham),Public,83 Baillie Street Horsham VIC 3400,1.28
716,Horsham West and Haven Primary School,3400,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,107.45
716,Horsham West and Haven Primary School,3400,Wimmera Base Hospital (Horsham),Public,83 Baillie Street Horsham VIC 3400,1.67
645,Hughesdale Primary School,3166,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,1.29
645,Hughesdale Primary School,3166,Bentleigh Surgicentre,Private,157 Jasper Road Jasper VIC 3204,2.22
2190,Hume Anglican Grammar,3064,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,7.09
2190,Hume Anglican Grammar,3064,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,2.06
1501,Hume Central Secondary College,3047,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,3.43
1501,Hume Central Secondary College,3047,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,0.28
840,Hume Valley School,3047,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,3.68
840,Hume Valley School,3047,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.1
725,Huntingdale Primary School,3167,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,1.21
725,Huntingdale Primary School,3167,Monash House Private Hospital,Private,271 Clayton Road Monash VIC 3168,1.12
