,School,Nearest Hospital,Hopsital Address,Distance (miles)
810,Invergordon Primary School,Numurkah District Health Service,2 Katamatite-nathalia Road Numurkah VIC 3636,9.87
811,Eltham East Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,5.53
812,Belvedere Park Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,2.99
813,Essex Heights Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.74
814,Mountain Gate Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,2.56
815,Fairhills Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.58
816,Boronia West Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.95
817,Southmoor Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.44
818,Ringwood Heights Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,2.1
819,Glenroy Specialist School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.12
820,Ruskin Park Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,2.3
821,Emerson School,Dandenong Hospital,135 David Street Dandenong VIC 3175,0.75
822,Fyans Park Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.11
823,Karingal Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,1.54
824,Mount View Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.29
825,Syndal South Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.16
826,Montmorency South Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,4.35
827,Berendale School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.68
828,Altona North Primary School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,3.01
829,Burwood Heights Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.39
830,Stawell West Primary School,Stawell Regional Health,27-29 Sloane Street Stawell VIC 3380,0.71
831,Watsonia Heights Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.7
832,Forest Street Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,2.54
833,Pembroke Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,3.07
834,Mahogany Rise Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,2.32
835,Wilmot Road Primary School Shepparton,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,2.44
836,Bundoora Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,0.62
837,University Park Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,0.79
838,St Albans Heights Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,0.83
839,Kerang South Primary School,Kerang District Health,13-15 Burgoyne Street Kerang VIC 3579,1.29
840,Hume Valley School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.1
841,Mentone Park Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,1.77
842,Donvale Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,3.17
843,Bell Park North Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.92
844,Boronia Heights Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,3.43
845,Glenallen School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.48
846,Churchill Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,7.06
847,Montpellier Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.88
848,Bayswater South Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.98
849,Seaford North Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,4.2
850,Morwell Park Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,2.63
851,Lalor East Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.99
852,Jackson School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,0.29
853,Carlton Primary School,Royal Dental Hospital (Melbourne),720 Swanston Street Carlton VIC 3053,0.41
854,Oberon South Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.91
855,Templestowe Valley Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,2.67
856,Highvale Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.15
857,Watsonia North Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.41
858,Wooranna Park Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,1.16
859,Knox Park Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.81
860,Birralee Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.44
861,Ararat North Primary School,East Grampians Health Service (Ararat),9-29 Girdlestone Street Ararat VIC 3377,0.51
862,Derinya Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,1.56
863,Thomastown West Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.96
864,Rowville Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,3.87
865,Mossfiel Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,0.91
866,Templestowe Heights Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,3.22
867,Ballam Park Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,1.6
868,Sunbury West Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,1.1
869,Gladstone Park Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.48
870,Manchester Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,2.59
871,Glendal Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.05
872,Bimbadeen Heights Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,2.04
873,Wattle View Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,2.5
874,Sherbourne Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,4.16
875,Donburn Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,3.16
876,Guthrie Street Primary School Shepparton,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,2.55
877,Araluen Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,0.45
878,Vermont South Special School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.91
879,Concord School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.11
880,Deer Park West Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.94
881,Campbellfield Heights Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.96
882,Lalor North Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.09
883,Melton West Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,0.78
884,Diamond Creek East Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,6.35
885,Brandon Park Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.81
886,Bayswater West Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.47
887,Mornington Park Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,0.97
888,Wodonga South Primary School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,0.97
889,Aldercourt Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,2.95
890,Richmond West Primary School,Eye and Ear on the Park,2 Gordon Place Gordon VIC 3002,1.01
891,Marlborough Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,0.89
892,Stevensville Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.51
893,Birmingham Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,1.84
894,Woodville Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,0.46
895,Glengala Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.7
896,Karingal Heights Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,2.14
897,Wallarano Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,0.65
898,Victoria Road Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,0.84
899,Mooroolbark East Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,2.25
900,Ardeer South Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.17
901,Gladesville Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,3.7
902,Falls Creek Primary School,Alpine Health (Mount Beauty),2-8 Hollonds Street Hollonds VIC 3699,10.35
903,Debney Meadows Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,0.92
904,Fountain Gate Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,3.74
905,Tinternvale Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,0.96
906,Grovedale West Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,4.41
907,Baringa Special School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,11.81
908,Naranga Special School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,1.85
909,Kent Park Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,2.97
910,Deer Park North Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.31
911,Rosewood Downs Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,2.29
912,Mooroopna Park Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,3.45
913,Coburn Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,0.95
914,Manorvale Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,3.08
915,Gladstone Views Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,0.89
916,Wheelers Hill Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,3.33
917,Ashwood School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,3.15
918,Broadmeadows Valley Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,0.2
919,Bulleen Heights School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,1.93
920,Kingston Heath Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,0.58
921,Andersons Creek Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,4.82
922,Waverley Meadows Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,3.4
923,Kingswood Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,3.07
924,Ascot Vale Special School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,0.91
925,Camelot Rise Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.57
926,Livingstone Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.91
927,Churchill North Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,6.62
928,St Albans Meadows Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,0.46
929,Silverton Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.77
930,Kalinda Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.22
931,Whittington Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.46
932,Coldstream Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,2.39
933,Templestowe Park Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,4.2
934,River Gum Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,4.59
935,Regency Park Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,0.71
936,Dorset Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.67
937,Eastbourne Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,0.82
938,Thomastown Meadows Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,2.39
939,Kingsley Park Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,0.47
940,James Cook Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,1.5
941,Movelle Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.7
942,Mount Eliza North Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,2.88
943,Melrose Primary School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,1.02
944,Yarrabah School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,4.21
945,Frankston Special Developmental School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,2.29
946,Waratah Special Developmental School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,0.36
947,Port Phillip Specialist School,The Alfred,55 Commercial Road Melbourne VIC 3004,2.28
948,Cobram and District Specialist School,Cobram District Health,24-32 Broadway Street Cobram VIC 3644,0.64
949,Monash Special Developmental School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.55
950,Iramoo Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,3.92
951,Verney Road School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,0.69
952,Weeden Heights Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.88
953,Mill Park Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.93
954,Diamond Valley Special Developmental School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.27
955,Melton Specialist School,Melton Health,195-209 Barries Road Barries VIC 3337,0.65
956,Springvale Park Special Developmental School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.05
957,Warringa Park School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,0.65
958,Serpell Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,3.66
959,Mount Martha Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,3.48
960,Altona Meadows Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,4.56
961,The Patch Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,4.35
962,Sale and District Specialist School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,1.89
963,Jells Park Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,3.82
964,Albanvale Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.53
965,Kismet Park Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,0.85
966,Kunyung Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,3.48
967,Apollo Parkways Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.16
968,Mandama Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,3.96
969,Bethal Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.74
970,Cranbourne West Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,1.0
971,Patterson Lakes Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,5.65
972,Seaford Park Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,3.45
973,Billanook Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,4.75
974,Chirnside Park Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,2.24
975,Bass Valley Primary School,Bass Coast Health,235 Graham Street Wonthaggi VIC 3995,13.19
976,Templeton Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,0.94
977,Sunbury Heights Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,1.44
978,Darley Primary School,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,1.59
979,Delacombe Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,1.93
980,Wallaroo Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,8.53
981,Mossgiel Park Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,2.75
982,Wedge Park Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,0.79
983,Appin Park Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,1.16
984,Croydon Special Developmental School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.51
